# Job started on: Wed Oct  9 12:45:45 CEST 2013 ..........
# FONLL heavy quark hadroproduction cross section
# FONLL version and perturbative order: ## FONLL v1.3.2 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = charm
# final state = meson (meson = D0). NP params (cm,lm,hm) = 0.1, 0.06, 0.135
# BR(q->meson) = 0.56
# ebeam1 = 3500, ebeam2 = 3500
# PDF set = CTEQ6.6
# ptmin = 0.125
# ptmax = 50.125
# ymin  = -0.5
# ymax  = 0.5
# Uncertainties from scales, masses combined quadratically
# cross section is ds/dpt (pb/GeV)
#  pt      central      min       max       min_sc     max_sc     min_mass   max_mass   fr=.5 .5     fr=2 2     fr=2 1     fr=1 2    fr=1 .5    fr=.5 1
   5.6250 7.4221e+06 4.8244e+06 1.1774e+07 5.0050e+06 1.1583e+07 6.4705e+06 8.6974e+06 8.1973e+06 6.6864e+06 9.2379e+06 5.2222e+06 1.1583e+07 5.0050e+06
   5.8750 6.3598e+06 4.2355e+06 9.9637e+06 4.3868e+06 9.8066e+06 5.5725e+06 7.4126e+06 7.0957e+06 5.7146e+06 7.8415e+06 4.5089e+06 9.8066e+06 4.3868e+06
   6.1250 5.4713e+06 3.7233e+06 8.4717e+06 3.8510e+06 8.3415e+06 4.8155e+06 6.3455e+06 6.1559e+06 4.9049e+06 6.6868e+06 3.9056e+06 8.3415e+06 3.8510e+06
   6.3750 4.7231e+06 3.2777e+06 7.2332e+06 3.3859e+06 7.1249e+06 4.1743e+06 5.4527e+06 5.3514e+06 4.2256e+06 5.7255e+06 3.3933e+06 7.1249e+06 3.3859e+06
   6.6250 4.0895e+06 2.8662e+06 6.1988e+06 2.9563e+06 6.1083e+06 3.6287e+06 4.7010e+06 4.6606e+06 3.6521e+06 4.9200e+06 2.9563e+06 6.1083e+06 2.9817e+06
   6.8750 3.5528e+06 2.5092e+06 5.3326e+06 2.5840e+06 5.2567e+06 3.1648e+06 4.0670e+06 4.0697e+06 3.1679e+06 4.2440e+06 2.5840e+06 5.2567e+06 2.6311e+06
   7.1250 3.0971e+06 2.2036e+06 4.6048e+06 2.2658e+06 4.5409e+06 2.7694e+06 3.5312e+06 3.5638e+06 2.7580e+06 3.6750e+06 2.2658e+06 4.5409e+06 2.3266e+06
   7.3750 2.7085e+06 1.9408e+06 3.9905e+06 1.9928e+06 3.9366e+06 2.4308e+06 3.0762e+06 3.1288e+06 2.4093e+06 3.1937e+06 1.9928e+06 3.9366e+06 2.0612e+06
   7.6250 2.3756e+06 1.7137e+06 3.4698e+06 1.7573e+06 3.4242e+06 2.1395e+06 2.6882e+06 2.7530e+06 2.1112e+06 2.7848e+06 1.7573e+06 3.4242e+06 1.8292e+06
   7.8750 2.0893e+06 1.5167e+06 3.0267e+06 1.5534e+06 2.9879e+06 1.8878e+06 2.3561e+06 2.4272e+06 1.8553e+06 2.4358e+06 1.5534e+06 2.9879e+06 1.6258e+06
   8.1250 1.8421e+06 1.3453e+06 2.6482e+06 1.3762e+06 2.6151e+06 1.6695e+06 2.0708e+06 2.1439e+06 1.6348e+06 2.1368e+06 1.3762e+06 2.6151e+06 1.4471e+06
   8.3750 1.6287e+06 1.1962e+06 2.3241e+06 1.2224e+06 2.2957e+06 1.4804e+06 1.8253e+06 1.8982e+06 1.4446e+06 1.8801e+06 1.2224e+06 2.2957e+06 1.2909e+06
   8.6250 1.4439e+06 1.0663e+06 2.0457e+06 1.0886e+06 2.0213e+06 1.3161e+06 1.6134e+06 1.6847e+06 1.2800e+06 1.6591e+06 1.0886e+06 2.0213e+06 1.1541e+06
   8.8750 1.2833e+06 9.5275e+05 1.8056e+06 9.7174e+05 1.7846e+06 1.1729e+06 1.4300e+06 1.4986e+06 1.1371e+06 1.4680e+06 9.7174e+05 1.7846e+06 1.0339e+06
   9.1250 1.1432e+06 8.5311e+05 1.5980e+06 8.6934e+05 1.5798e+06 1.0476e+06 1.2705e+06 1.3359e+06 1.0127e+06 1.3024e+06 8.6934e+05 1.5798e+06 9.2799e+05
   9.3750 1.0208e+06 7.6544e+05 1.4179e+06 7.7935e+05 1.4021e+06 9.3767e+05 1.1316e+06 1.1933e+06 9.0395e+05 1.1583e+06 7.7935e+05 1.4021e+06 8.3435e+05
   9.6250 9.1344e+05 6.8808e+05 1.2611e+06 7.0005e+05 1.2474e+06 8.4097e+05 1.0102e+06 1.0680e+06 8.0869e+05 1.0326e+06 7.0005e+05 1.2474e+06 7.5134e+05
   9.8750 8.1905e+05 6.1967e+05 1.1243e+06 6.3000e+05 1.1124e+06 7.5570e+05 9.0377e+05 9.5761e+05 7.2500e+05 9.2270e+05 6.3000e+05 1.1124e+06 6.7763e+05
  10.1250 7.3595e+05 5.5914e+05 1.0047e+06 5.6808e+05 9.9419e+05 6.8044e+05 8.1035e+05 8.6039e+05 6.5136e+05 8.2632e+05 5.6808e+05 9.9419e+05 6.1231e+05
  10.3750 6.6262e+05 5.0547e+05 8.9978e+05 5.1322e+05 8.9055e+05 6.1386e+05 7.2812e+05 7.7460e+05 5.8640e+05 7.4161e+05 5.1322e+05 8.9055e+05 5.5430e+05
  10.6250 5.9775e+05 4.5777e+05 8.0754e+05 4.6452e+05 7.9941e+05 5.5483e+05 6.5557e+05 6.9870e+05 5.2896e+05 6.6698e+05 4.6452e+05 7.9941e+05 5.0267e+05
  10.8750 5.4025e+05 4.1530e+05 7.2624e+05 4.2117e+05 7.1906e+05 5.0237e+05 5.9141e+05 6.3140e+05 4.7806e+05 6.0105e+05 4.2117e+05 7.1906e+05 4.5661e+05
  11.1250 4.8916e+05 3.7738e+05 6.5442e+05 3.8252e+05 6.4807e+05 4.5566e+05 5.3453e+05 5.7160e+05 4.3284e+05 5.4268e+05 3.8252e+05 6.4807e+05 4.1544e+05
  11.3750 4.4366e+05 3.4348e+05 5.9083e+05 3.4798e+05 5.8519e+05 4.1397e+05 4.8401e+05 5.1833e+05 3.9258e+05 4.9090e+05 3.4798e+05 5.8519e+05 3.7855e+05
  11.6250 4.0307e+05 3.1309e+05 5.3440e+05 3.1705e+05 5.2938e+05 3.7668e+05 4.3902e+05 4.7080e+05 3.5668e+05 4.4485e+05 3.1705e+05 5.2938e+05 3.4544e+05
