# Job started on: Wed Nov 16 17:12:57 CET 2016 ......
# FONLL heavy quark hadroproduction cross section, calculated on Wed Nov 16 17:13:47 CET 2016
# FONLL version and perturbative order: ## FONLL v1.3.2 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = charm
# final state = meson (meson = D0). NP params (cm,lm,hm) = 0.1, 0.06, 0.135
# BR(q->meson) = 0.557
# ebeam1 = 3500, ebeam2 = 3500
# PDF set = CTEQ6.6
# ptmin = 0.25
# ptmax = 49.75
# ymin  = -0.5
# ymax  = 0.5
# Uncertainties from scales, masses, PDFs combined quadratically
# cross section is ds/dpt (pb/GeV)
# pt      central      min       max       min_sc     max_sc     min_mass   max_mass     min_pdf    max_pdf
  18.2500 5.0308e+04 4.0791e+04 6.2254e+04 4.1648e+04 6.1334e+04 4.8182e+04 5.3475e+04 4.6980e+04 5.3642e+04
  18.7500 4.4224e+04 3.5963e+04 5.4530e+04 3.6708e+04 5.3724e+04 4.2399e+04 4.6961e+04 4.1321e+04 4.7136e+04
  19.2500 3.8992e+04 3.1796e+04 4.7914e+04 3.2446e+04 4.7205e+04 3.7418e+04 4.1367e+04 3.6450e+04 4.1542e+04
  19.7500 3.4477e+04 2.8188e+04 4.2226e+04 2.8757e+04 4.1602e+04 3.3114e+04 3.6545e+04 3.2245e+04 3.6716e+04
  20.2500 3.0568e+04 2.5054e+04 3.7321e+04 2.5554e+04 3.6768e+04 2.9384e+04 3.2375e+04 2.8602e+04 3.2540e+04
  20.7500 2.7173e+04 2.2322e+04 3.3075e+04 2.2763e+04 3.2585e+04 2.6141e+04 2.8758e+04 2.5435e+04 2.8914e+04
  21.2500 2.4216e+04 1.9935e+04 2.9390e+04 2.0326e+04 2.8954e+04 2.3314e+04 2.5610e+04 2.2676e+04 2.5758e+04
  21.7500 2.1633e+04 1.7844e+04 2.6180e+04 1.8190e+04 2.5792e+04 2.0842e+04 2.2863e+04 2.0264e+04 2.3001e+04
  22.2500 1.9369e+04 1.6007e+04 2.3377e+04 1.6315e+04 2.3030e+04 1.8672e+04 2.0457e+04 1.8149e+04 2.0585e+04
  22.7500 1.7378e+04 1.4390e+04 2.0922e+04 1.4664e+04 2.0611e+04 1.6763e+04 1.8344e+04 1.6289e+04 1.8463e+04
  23.2500 1.5624e+04 1.2962e+04 1.8766e+04 1.3207e+04 1.8486e+04 1.5079e+04 1.6483e+04 1.4650e+04 1.6594e+04
  23.7500 1.4075e+04 1.1699e+04 1.6868e+04 1.1918e+04 1.6616e+04 1.3592e+04 1.4842e+04 1.3203e+04 1.4944e+04
  24.2500 1.2704e+04 1.0578e+04 1.5193e+04 1.0775e+04 1.4966e+04 1.2274e+04 1.3389e+04 1.1922e+04 1.3484e+04
  24.7500 1.1488e+04 9.5826e+03 1.3711e+04 9.7592e+03 1.3505e+04 1.1104e+04 1.2102e+04 1.0784e+04 1.2190e+04
  25.2500 1.0407e+04 8.6956e+03 1.2396e+04 8.8545e+03 1.2210e+04 1.0064e+04 1.0959e+04 9.7735e+03 1.1040e+04
  25.7500 9.4442e+03 7.9039e+03 1.1228e+04 8.0472e+03 1.1059e+04 9.1371e+03 9.9412e+03 8.8727e+03 1.0016e+04
  26.2500 8.5852e+03 7.1959e+03 1.0188e+04 7.3253e+03 1.0034e+04 8.3095e+03 9.0335e+03 8.0686e+03 9.1019e+03
  26.7500 7.8169e+03 6.5614e+03 9.2593e+03 6.6786e+03 9.1197e+03 7.5689e+03 8.2220e+03 7.3490e+03 8.2848e+03
  27.2500 7.1283e+03 5.9919e+03 8.4291e+03 6.0981e+03 8.3019e+03 6.9047e+03 7.4950e+03 6.7039e+03 7.5528e+03
  27.7500 6.5101e+03 5.4797e+03 7.6854e+03 5.5762e+03 7.5693e+03 6.3081e+03 6.8427e+03 6.1244e+03 6.8958e+03
  28.2500 5.9540e+03 5.0183e+03 7.0179e+03 5.1061e+03 6.9118e+03 5.7713e+03 6.2562e+03 5.6031e+03 6.3051e+03
  28.7500 5.4531e+03 4.6021e+03 6.4177e+03 4.6820e+03 6.3206e+03 5.2875e+03 5.7281e+03 5.1333e+03 5.7730e+03
  29.2500 5.0011e+03 4.2258e+03 5.8772e+03 4.2988e+03 5.7882e+03 4.8507e+03 5.2517e+03 4.7092e+03 5.2931e+03
  29.7500 4.5926e+03 3.8853e+03 5.3895e+03 3.9520e+03 5.3078e+03 4.4558e+03 4.8213e+03 4.3258e+03 4.8594e+03
  30.2500 4.2229e+03 3.5766e+03 4.9488e+03 3.6377e+03 4.8738e+03 4.0982e+03 4.4319e+03 3.9787e+03 4.4670e+03
  30.7500 3.8877e+03 3.2964e+03 4.5500e+03 3.3523e+03 4.4810e+03 3.7739e+03 4.0790e+03 3.6640e+03 4.1113e+03
  31.2500 3.5834e+03 3.0417e+03 4.1884e+03 3.0930e+03 4.1249e+03 3.4794e+03 3.7588e+03 3.3782e+03 3.7885e+03
  31.7500 3.3067e+03 2.8098e+03 3.8602e+03 2.8569e+03 3.8016e+03 3.2116e+03 3.4677e+03 3.1183e+03 3.4952e+03
  32.2500 3.0549e+03 2.5985e+03 3.5618e+03 2.6417e+03 3.5078e+03 2.9677e+03 3.2028e+03 2.8817e+03 3.2281e+03
  32.7500 2.8253e+03 2.4056e+03 3.2903e+03 2.4454e+03 3.2403e+03 2.7453e+03 2.9615e+03 2.6659e+03 2.9848e+03
  33.2500 2.6157e+03 2.2293e+03 3.0427e+03 2.2659e+03 2.9965e+03 2.5422e+03 2.7412e+03 2.4688e+03 2.7627e+03
  33.7500 2.4242e+03 2.0680e+03 2.8168e+03 2.1018e+03 2.7741e+03 2.3565e+03 2.5400e+03 2.2887e+03 2.5597e+03
  34.2500 2.2489e+03 1.9202e+03 2.6104e+03 1.9515e+03 2.5708e+03 2.1866e+03 2.3559e+03 2.1238e+03 2.3741e+03
  34.7500 2.0884e+03 1.7847e+03 2.4215e+03 1.8136e+03 2.3848e+03 2.0309e+03 2.1873e+03 1.9727e+03 2.2040e+03
  35.2500 1.9411e+03 1.6603e+03 2.2485e+03 1.6870e+03 2.2144e+03 1.8880e+03 2.0327e+03 1.8341e+03 2.0481e+03
  35.7500 1.8059e+03 1.5460e+03 2.0899e+03 1.5707e+03 2.0581e+03 1.7568e+03 1.8908e+03 1.7068e+03 1.9050e+03
  36.2500 1.6816e+03 1.4408e+03 1.9442e+03 1.4637e+03 1.9147e+03 1.6362e+03 1.7604e+03 1.5897e+03 1.7735e+03
  36.7500 1.5672e+03 1.3439e+03 1.8103e+03 1.3652e+03 1.7828e+03 1.5251e+03 1.6404e+03 1.4820e+03 1.6525e+03
  37.2500 1.4619e+03 1.2546e+03 1.6872e+03 1.2743e+03 1.6615e+03 1.4228e+03 1.5299e+03 1.3828e+03 1.5410e+03
  37.7500 1.3648e+03 1.1722e+03 1.5737e+03 1.1905e+03 1.5498e+03 1.3285e+03 1.4281e+03 1.2912e+03 1.4383e+03
  38.2500 1.2751e+03 1.0960e+03 1.4691e+03 1.1131e+03 1.4468e+03 1.2414e+03 1.3341e+03 1.2067e+03 1.3435e+03
  38.7500 1.1923e+03 1.0257e+03 1.3725e+03 1.0415e+03 1.3517e+03 1.1609e+03 1.2473e+03 1.1286e+03 1.2560e+03
  39.2500 1.1157e+03 9.6049e+02 1.2833e+03 9.7528e+02 1.2638e+03 1.0865e+03 1.1670e+03 1.0564e+03 1.1750e+03
  39.7500 1.0448e+03 9.0013e+02 1.2008e+03 9.1392e+02 1.1826e+03 1.0176e+03 1.0928e+03 9.8953e+02 1.1001e+03
  40.2500 9.7918e+02 8.4416e+02 1.1245e+03 8.5703e+02 1.1075e+03 9.5377e+02 1.0240e+03 9.2758e+02 1.0308e+03
  40.7500 9.1831e+02 7.9222e+02 1.0538e+03 8.0423e+02 1.0378e+03 8.9458e+02 9.6022e+02 8.7013e+02 9.6648e+02
  41.2500 8.6182e+02 7.4399e+02 9.8829e+02 7.5521e+02 9.7330e+02 8.3965e+02 9.0107e+02 8.1680e+02 9.0683e+02
  41.7500 8.0937e+02 6.9915e+02 9.2748e+02 7.0964e+02 9.1342e+02 7.8863e+02 8.4613e+02 7.6727e+02 8.5145e+02
  42.2500 7.6061e+02 6.5744e+02 8.7101e+02 6.6725e+02 8.5782e+02 7.4120e+02 7.9509e+02 7.2122e+02 7.9999e+02
  42.7500 7.1526e+02 6.1862e+02 8.1853e+02 6.2780e+02 8.0614e+02 6.9708e+02 7.4761e+02 6.7838e+02 7.5213e+02
  43.2500 6.7304e+02 5.8245e+02 7.6971e+02 5.9105e+02 7.5807e+02 6.5600e+02 7.0341e+02 6.3848e+02 7.0758e+02
  43.7500 6.3371e+02 5.4873e+02 7.2427e+02 5.5679e+02 7.1332e+02 6.1772e+02 6.6225e+02 6.0131e+02 6.6609e+02
  44.2500 5.9704e+02 5.1727e+02 6.8193e+02 5.2483e+02 6.7163e+02 5.8203e+02 6.2387e+02 5.6664e+02 6.2742e+02
  44.7500 5.6282e+02 4.8790e+02 6.4247e+02 4.9500e+02 6.3276e+02 5.4873e+02 5.8808e+02 5.3429e+02 5.9135e+02
  45.2500 5.3088e+02 4.6047e+02 6.0564e+02 4.6713e+02 5.9650e+02 5.1763e+02 5.5466e+02 5.0408e+02 5.5767e+02
  45.7500 5.0104e+02 4.3482e+02 5.7126e+02 4.4109e+02 5.6265e+02 4.8857e+02 5.2344e+02 4.7585e+02 5.2622e+02
  46.2500 4.7314e+02 4.1083e+02 5.3914e+02 4.1672e+02 5.3101e+02 4.6140e+02 4.9425e+02 4.4945e+02 4.9682e+02
  46.7500 4.4703e+02 3.8838e+02 5.0911e+02 3.9392e+02 5.0144e+02 4.3598e+02 4.6695e+02 4.2474e+02 4.6932e+02
  47.2500 4.2260e+02 3.6735e+02 4.8101e+02 3.7256e+02 4.7377e+02 4.1218e+02 4.4140e+02 4.0161e+02 4.4357e+02
  47.7500 3.9971e+02 3.4763e+02 4.5471e+02 3.5255e+02 4.4787e+02 3.8988e+02 4.1746e+02 3.7994e+02 4.1947e+02
  48.2500 3.7825e+02 3.2914e+02 4.3007e+02 3.3377e+02 4.2361e+02 3.6898e+02 3.9503e+02 3.5962e+02 3.9688e+02
  48.7500 3.5813e+02 3.1179e+02 4.0698e+02 3.1615e+02 4.0087e+02 3.4938e+02 3.7399e+02 3.4056e+02 3.7569e+02
  49.2500 3.3925e+02 2.9549e+02 3.8533e+02 2.9961e+02 3.7954e+02 3.3098e+02 3.5425e+02 3.2267e+02 3.5582e+02
  49.7500 3.2151e+02 2.8018e+02 3.6501e+02 2.8406e+02 3.5953e+02 3.1370e+02 3.3571e+02 3.0586e+02 3.3716e+02
