# Job started on: Mon Nov 14 23:30:39 CET 2016 .....
# FONLL heavy quark hadroproduction cross section, calculated on Mon Nov 14 23:31:28 CET 2016
# FONLL version and perturbative order: ## FONLL v1.3.2 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = charm
# final state = meson (meson = D0). NP params (cm,lm,hm) = 0.1, 0.06, 0.135
# BR(q->meson) = 1
# ebeam1 = 3500, ebeam2 = 3500
# PDF set = CTEQ6.6
# ptmin = 0.25
# ptmax = 49.75
# etamin = -1
# etamax = 1
# Uncertainties from scales, masses, PDFs combined quadratically
# cross section is ds/dpt (pb/GeV)
# pt      central      min       max       min_sc     max_sc     min_mass   max_mass     min_pdf    max_pdf
  18.2500 1.7582e+05 1.4257e+05 2.1758e+05 1.4555e+05 2.1436e+05 1.6827e+05 1.8704e+05 1.6431e+05 1.8736e+05
  18.7500 1.5452e+05 1.2566e+05 1.9054e+05 1.2826e+05 1.8772e+05 1.4804e+05 1.6420e+05 1.4448e+05 1.6459e+05
  19.2500 1.3620e+05 1.1108e+05 1.6737e+05 1.1333e+05 1.6490e+05 1.3062e+05 1.4460e+05 1.2742e+05 1.4501e+05
  19.7500 1.2040e+05 9.8448e+04 1.4746e+05 1.0042e+05 1.4528e+05 1.1557e+05 1.2771e+05 1.1269e+05 1.2813e+05
  20.2500 1.0672e+05 8.7479e+04 1.3029e+05 8.9210e+04 1.2837e+05 1.0252e+05 1.1310e+05 9.9934e+04 1.1352e+05
  20.7500 9.4841e+04 7.7923e+04 1.1544e+05 7.9446e+04 1.1374e+05 9.1187e+04 1.0043e+05 8.8851e+04 1.0084e+05
  21.2500 8.4498e+04 6.9574e+04 1.0254e+05 7.0919e+04 1.0103e+05 8.1305e+04 8.9414e+04 7.9194e+04 8.9804e+04
  21.7500 7.5463e+04 6.2260e+04 9.1320e+04 6.3450e+04 8.9972e+04 7.2664e+04 7.9798e+04 7.0753e+04 8.0167e+04
  22.2500 6.7543e+04 5.5837e+04 8.1518e+04 5.6894e+04 8.0314e+04 6.5082e+04 7.1377e+04 6.3352e+04 7.1725e+04
  22.7500 6.0583e+04 5.0182e+04 7.2935e+04 5.1122e+04 7.1858e+04 5.8413e+04 6.3984e+04 5.6847e+04 6.4310e+04
  23.2500 5.4452e+04 4.5190e+04 6.5400e+04 4.6029e+04 6.4433e+04 5.2533e+04 5.7478e+04 5.1114e+04 5.7782e+04
  23.7500 4.9039e+04 4.0774e+04 5.8767e+04 4.1524e+04 5.7897e+04 4.7337e+04 5.1737e+04 4.6051e+04 5.2020e+04
  24.2500 4.4249e+04 3.6859e+04 5.2914e+04 3.7530e+04 5.2130e+04 4.2736e+04 4.6661e+04 4.1569e+04 4.6924e+04
  24.7500 4.0001e+04 3.3379e+04 4.7737e+04 3.3981e+04 4.7029e+04 3.8653e+04 4.2162e+04 3.7594e+04 4.2405e+04
  25.2500 3.6226e+04 3.0280e+04 4.3147e+04 3.0822e+04 4.2506e+04 3.5022e+04 3.8167e+04 3.4059e+04 3.8391e+04
  25.7500 3.2865e+04 2.7515e+04 3.9069e+04 2.8003e+04 3.8488e+04 3.1788e+04 3.4612e+04 3.0911e+04 3.4818e+04
  26.2500 2.9867e+04 2.5043e+04 3.5438e+04 2.5483e+04 3.4910e+04 2.8900e+04 3.1442e+04 2.8102e+04 3.1632e+04
  26.7500 2.7185e+04 2.2828e+04 3.2198e+04 2.3226e+04 3.1719e+04 2.6317e+04 2.8608e+04 2.5588e+04 2.8782e+04
  27.2500 2.4783e+04 2.0840e+04 2.9302e+04 2.1200e+04 2.8866e+04 2.4000e+04 2.6071e+04 2.3335e+04 2.6231e+04
  27.7500 2.2627e+04 1.9053e+04 2.6708e+04 1.9380e+04 2.6310e+04 2.1920e+04 2.3794e+04 2.1312e+04 2.3941e+04
  28.2500 2.0688e+04 1.7444e+04 2.4381e+04 1.7740e+04 2.4018e+04 2.0049e+04 2.1748e+04 1.9493e+04 2.1883e+04
  28.7500 1.8942e+04 1.5992e+04 2.2289e+04 1.6262e+04 2.1957e+04 1.8362e+04 1.9906e+04 1.7854e+04 2.0030e+04
  29.2500 1.7366e+04 1.4680e+04 2.0405e+04 1.4926e+04 2.0101e+04 1.6840e+04 1.8245e+04 1.6374e+04 1.8358e+04
  29.7500 1.5943e+04 1.3493e+04 1.8706e+04 1.3718e+04 1.8427e+04 1.5465e+04 1.6744e+04 1.5037e+04 1.6849e+04
  30.2500 1.4655e+04 1.2418e+04 1.7171e+04 1.2623e+04 1.6915e+04 1.4219e+04 1.5387e+04 1.3826e+04 1.5483e+04
  30.7500 1.3488e+04 1.1442e+04 1.5782e+04 1.1629e+04 1.5547e+04 1.3090e+04 1.4157e+04 1.2729e+04 1.4246e+04
  31.2500 1.2428e+04 1.0555e+04 1.4524e+04 1.0727e+04 1.4307e+04 1.2065e+04 1.3042e+04 1.1733e+04 1.3123e+04
  31.7500 1.1465e+04 9.7473e+03 1.3381e+04 9.9050e+03 1.3182e+04 1.1133e+04 1.2028e+04 1.0828e+04 1.2103e+04
  32.2500 1.0589e+04 9.0115e+03 1.2343e+04 9.1564e+03 1.2160e+04 1.0284e+04 1.1106e+04 1.0003e+04 1.1174e+04
  32.7500 9.7900e+03 8.3402e+03 1.1398e+04 8.4733e+03 1.1229e+04 9.5104e+03 1.0266e+04 9.2513e+03 1.0328e+04
  33.2500 9.0611e+03 7.7267e+03 1.0538e+04 7.8493e+03 1.0381e+04 8.8041e+03 9.4993e+03 8.5651e+03 9.5569e+03
  33.7500 8.3951e+03 7.1656e+03 9.7523e+03 7.2785e+03 9.6074e+03 8.1586e+03 8.7992e+03 7.9380e+03 8.8521e+03
  34.2500 7.7858e+03 6.6517e+03 9.0348e+03 6.7558e+03 8.9007e+03 7.5680e+03 8.1590e+03 7.3640e+03 8.2074e+03
  34.7500 7.2277e+03 6.1805e+03 8.3785e+03 6.2766e+03 8.2542e+03 7.0268e+03 7.5728e+03 6.8382e+03 7.6172e+03
  35.2500 6.7160e+03 5.7480e+03 7.7776e+03 5.8368e+03 7.6622e+03 6.5305e+03 7.0354e+03 6.3559e+03 7.0761e+03
  35.7500 6.2463e+03 5.3505e+03 7.2266e+03 5.4327e+03 7.1194e+03 6.0748e+03 6.5422e+03 5.9131e+03 6.5795e+03
  36.2500 5.8146e+03 4.9850e+03 6.7208e+03 5.0610e+03 6.6212e+03 5.6559e+03 6.0892e+03 5.5060e+03 6.1232e+03
  36.7500 5.4176e+03 4.6483e+03 6.2561e+03 4.7188e+03 6.1634e+03 5.2705e+03 5.6724e+03 5.1314e+03 5.7037e+03
  37.2500 5.0519e+03 4.3381e+03 5.8286e+03 4.4035e+03 5.7423e+03 4.9155e+03 5.2888e+03 4.7864e+03 5.3174e+03
  37.7500 4.7148e+03 4.0519e+03 5.4349e+03 4.1126e+03 5.3545e+03 4.5882e+03 4.9352e+03 4.4683e+03 4.9613e+03
  38.2500 4.4038e+03 3.7876e+03 5.0720e+03 3.8440e+03 4.9970e+03 4.2861e+03 4.6090e+03 4.1747e+03 4.6329e+03
  38.7500 4.1165e+03 3.5433e+03 4.7372e+03 3.5958e+03 4.6672e+03 4.0071e+03 4.3078e+03 3.9034e+03 4.3296e+03
  39.2500 3.8510e+03 3.3172e+03 4.4280e+03 3.3661e+03 4.3626e+03 3.7491e+03 4.0294e+03 3.6526e+03 4.0494e+03
  39.7500 3.6053e+03 3.1079e+03 4.1422e+03 3.1533e+03 4.0810e+03 3.5104e+03 3.7719e+03 3.4204e+03 3.7901e+03
  40.2500 3.3777e+03 2.9138e+03 3.8778e+03 2.9562e+03 3.8206e+03 3.2892e+03 3.5334e+03 3.2054e+03 3.5501e+03
  40.7500 3.1668e+03 2.7337e+03 3.6329e+03 2.7732e+03 3.5793e+03 3.0842e+03 3.3124e+03 3.0060e+03 3.3277e+03
  41.2500 2.9711e+03 2.5665e+03 3.4060e+03 2.6034e+03 3.3558e+03 2.8940e+03 3.1074e+03 2.8210e+03 3.1213e+03
  41.7500 2.7895e+03 2.4111e+03 3.1955e+03 2.4456e+03 3.1484e+03 2.7174e+03 2.9171e+03 2.6492e+03 2.9299e+03
  42.2500 2.6207e+03 2.2666e+03 3.0000e+03 2.2989e+03 2.9559e+03 2.5532e+03 2.7403e+03 2.4894e+03 2.7520e+03
